-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2011 through 12/31/2011 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MWET,T2M_MAX,PRECTOT,PS,T2M,RH2M
38.25,-85.75,2011,01,01,   17.89,    3.62,    0.45,   11.98,   14.78,   99.11,    3.97,   86.39
38.25,-85.25,2011,01,01,   16.79,    4.38,    1.63,   11.09,   13.10,   98.83,    4.76,   88.11
38.25,-85.75,2011,01,02,    6.55,   -3.66,   -8.12,    0.37,    0.00,  100.00,   -3.84,   69.17
38.25,-85.25,2011,01,02,    6.70,   -3.77,   -8.18,    0.42,    0.00,   99.74,   -3.89,   69.08
38.25,-85.75,2011,01,03,   11.26,   -2.39,   -6.62,    4.17,    0.00,   99.85,   -2.17,   69.65
38.25,-85.25,2011,01,03,   10.91,   -2.31,   -6.71,    4.04,    0.00,   99.62,   -2.11,   68.79
38.25,-85.75,2011,01,04,   10.11,   -1.63,   -4.74,    5.46,    0.04,   99.30,   -1.32,   76.64
38.25,-85.25,2011,01,04,    9.99,   -1.53,   -4.74,    5.42,    0.01,   99.05,   -1.24,   76.20
38.25,-85.75,2011,01,05,    8.14,   -2.00,   -6.25,    2.37,    0.00,   99.04,   -1.72,   69.75
38.25,-85.25,2011,01,05,    7.71,   -2.18,   -6.42,    2.24,    0.00,   98.79,   -1.66,   68.32
38.25,-85.75,2011,01,06,    9.68,   -1.12,   -3.85,    4.49,    0.17,   98.23,   -1.05,   80.46
38.25,-85.25,2011,01,06,    9.72,   -1.07,   -3.91,    4.50,    0.08,   97.97,   -1.00,   79.82
38.25,-85.75,2011,01,07,    4.87,   -2.22,   -4.22,    0.16,    1.43,   97.49,   -2.15,   84.97
38.25,-85.25,2011,01,07,    4.74,   -2.33,   -4.50,   -0.11,    1.47,   97.23,   -2.27,   83.76
38.25,-85.75,2011,01,08,    6.52,   -7.70,  -11.62,   -4.77,    0.13,   98.58,   -7.84,   69.14
38.25,-85.25,2011,01,08,    6.38,   -7.76,  -11.45,   -4.95,    0.27,   98.28,   -7.84,   70.44
38.25,-85.75,2011,01,09,   11.71,   -6.33,   -9.27,   -0.50,    0.00,  100.05,   -6.62,   78.64
38.25,-85.25,2011,01,09,   11.72,   -6.36,   -9.35,   -0.40,    0.00,   99.81,   -6.65,   78.18
38.25,-85.75,2011,01,10,    6.65,   -3.25,   -7.71,    0.70,    0.10,   99.99,   -3.42,   69.51
38.25,-85.25,2011,01,10,    6.59,   -3.67,   -7.99,    0.29,    0.09,   99.77,   -3.84,   69.95
38.25,-85.75,2011,01,11,    5.80,   -3.64,   -5.57,   -0.28,    3.36,   99.45,   -3.63,   85.28
38.25,-85.25,2011,01,11,    5.89,   -3.66,   -5.59,   -0.08,    2.98,   99.18,   -3.65,   85.37
38.25,-85.75,2011,01,12,    3.68,   -6.64,   -8.55,   -4.83,    0.28,  100.35,   -6.78,   83.75
38.25,-85.25,2011,01,12,    3.62,   -6.32,   -8.22,   -4.55,    0.36,  100.02,   -6.45,   84.12
38.25,-85.75,2011,01,13,    5.27,   -7.07,   -9.15,   -3.92,    0.01,  100.80,   -7.17,   81.86
38.25,-85.25,2011,01,13,    4.92,   -7.06,   -9.02,   -4.09,    0.01,  100.54,   -7.14,   82.60
38.25,-85.75,2011,01,14,   11.11,   -3.93,   -6.47,    1.69,    0.00,  100.24,   -3.80,   80.99
38.25,-85.25,2011,01,14,   10.71,   -4.07,   -6.71,    1.48,    0.00,  100.01,   -3.96,   80.20
38.25,-85.75,2011,01,15,    7.22,   -1.16,   -2.69,    3.79,    0.01,   99.57,   -0.84,   87.27
38.25,-85.25,2011,01,15,    7.05,   -1.17,   -2.66,    3.58,    0.01,   99.32,   -0.85,   87.55
38.25,-85.75,2011,01,16,    7.17,   -2.74,   -5.77,    1.20,    0.01,   99.74,   -3.05,   80.09
38.25,-85.25,2011,01,16,    7.44,   -2.74,   -5.66,    1.39,    0.01,   99.49,   -2.97,   80.39
38.25,-85.75,2011,01,17,    9.90,   -1.70,   -2.41,    2.57,    2.14,   98.98,   -1.56,   96.92
38.25,-85.25,2011,01,17,   10.35,   -1.76,   -2.62,    2.80,    2.10,   98.79,   -1.65,   96.06
38.25,-85.75,2011,01,18,    4.58,    1.45,    1.85,    3.90,    6.71,   98.43,    1.95,   99.33
38.25,-85.25,2011,01,18,    3.96,    1.29,    1.68,    3.53,    7.37,   98.20,    1.71,   99.74
38.25,-85.75,2011,01,19,    4.30,   -0.71,   -2.81,    1.76,    0.25,   99.27,   -0.73,   85.35
38.25,-85.25,2011,01,19,    4.59,   -0.74,   -2.74,    1.82,    0.24,   99.00,   -0.74,   85.85
38.25,-85.75,2011,01,20,    7.35,   -2.60,   -4.40,   -0.02,    7.97,   99.25,   -2.68,   87.79
38.25,-85.25,2011,01,20,    7.22,   -2.25,   -4.08,    0.43,    6.91,   98.97,   -2.34,   87.74
38.25,-85.75,2011,01,21,    8.19,  -11.53,  -13.97,   -7.01,    0.02,   99.43,  -11.04,   71.20
38.25,-85.25,2011,01,21,    7.71,  -10.98,  -13.70,   -6.88,    0.04,   99.15,  -10.67,   70.96
38.25,-85.75,2011,01,22,   12.56,   -9.90,  -11.13,   -2.48,    0.01,   99.14,   -9.06,   81.95
38.25,-85.25,2011,01,22,   12.60,  -10.03,  -11.36,   -2.73,    0.01,   98.90,   -9.27,   81.38
38.25,-85.75,2011,01,23,    7.32,   -5.65,   -8.78,   -2.02,    0.09,   99.78,   -5.86,   76.80
38.25,-85.25,2011,01,23,    7.31,   -6.03,   -9.30,   -2.13,    0.08,   99.54,   -6.21,   75.35
38.25,-85.75,2011,01,24,   11.28,   -1.62,   -2.38,    3.80,    0.49,   99.57,   -1.40,   95.74
38.25,-85.25,2011,01,24,   12.25,   -1.65,   -2.70,    4.33,    0.52,   99.36,   -1.48,   94.42
38.25,-85.75,2011,01,25,    6.41,    0.43,   -0.73,    4.35,    2.89,   99.34,    0.52,   91.51
38.25,-85.25,2011,01,25,    5.88,    0.80,   -0.12,    4.77,    4.37,   99.09,    0.98,   92.58
38.25,-85.75,2011,01,26,    5.12,   -2.06,   -3.99,    0.75,    2.45,   99.06,   -2.16,   86.45
38.25,-85.25,2011,01,26,    5.28,   -1.91,   -3.63,    0.92,    2.42,   98.76,   -1.94,   87.67
38.25,-85.75,2011,01,27,    7.55,   -2.35,   -3.21,    0.88,    0.34,   98.98,   -2.10,   92.26
38.25,-85.25,2011,01,27,    7.18,   -2.21,   -3.32,    0.80,    0.67,   98.74,   -2.04,   90.95
38.25,-85.75,2011,01,28,    6.44,   -2.01,   -3.38,    2.20,    0.00,   98.84,   -1.32,   85.41
38.25,-85.25,2011,01,28,    6.34,   -2.13,   -3.34,    2.06,    0.04,   98.59,   -1.38,   86.10
38.25,-85.75,2011,01,29,    8.90,   -0.13,   -1.32,    5.70,    0.00,   98.94,    0.30,   89.06
38.25,-85.25,2011,01,29,    9.34,   -0.21,   -1.33,    5.74,    0.16,   98.70,    0.19,   89.81
38.25,-85.75,2011,01,30,    9.19,    0.34,   -1.76,    6.40,    0.00,   99.56,    0.41,   85.30
38.25,-85.25,2011,01,30,    9.20,    0.20,   -1.78,    6.38,    0.01,   99.33,    0.30,   85.84
38.25,-85.75,2011,01,31,    5.29,   -0.54,   -2.04,    2.17,    1.50,   99.61,   -0.64,   91.48
38.25,-85.25,2011,01,31,    5.93,   -0.62,   -1.99,    2.74,    1.38,   99.39,   -0.67,   92.29
38.25,-85.75,2011,02,01,    6.75,    3.49,    4.03,    8.01,   17.37,   98.52,    4.05,  100.00
38.25,-85.25,2011,02,01,    7.26,    3.87,    4.42,    8.71,   19.93,   98.34,    4.38,  100.00
38.25,-85.75,2011,02,02,    7.05,   -3.80,   -7.88,    0.70,    0.09,   99.60,   -4.02,   72.21
38.25,-85.25,2011,02,02,    8.84,   -3.42,   -7.55,    3.13,    0.13,   99.31,   -3.60,   72.67
38.25,-85.75,2011,02,03,    7.21,   -3.91,   -8.32,   -0.73,    0.00,  100.69,   -4.37,   71.08
38.25,-85.25,2011,02,03,    7.04,   -3.45,   -8.06,   -0.29,    0.00,  100.42,   -3.95,   70.46
38.25,-85.75,2011,02,04,    7.85,   -3.56,   -6.78,    1.40,    0.07,   99.72,   -2.54,   71.02
38.25,-85.25,2011,02,04,    7.10,   -3.25,   -6.51,    1.40,    0.04,   99.48,   -2.23,   71.05
38.25,-85.75,2011,02,05,    5.68,   -1.43,   -2.58,    2.07,    3.72,   98.33,   -1.15,   90.01
38.25,-85.25,2011,02,05,    5.63,   -1.14,   -2.37,    2.39,    4.37,   98.09,   -0.92,   89.95
38.25,-85.75,2011,02,06,    8.47,   -0.14,   -1.40,    4.33,    0.25,   98.96,    0.08,   90.18
38.25,-85.25,2011,02,06,    7.97,    0.06,   -1.45,    4.38,    0.25,   98.74,    0.24,   88.69
38.25,-85.75,2011,02,07,    4.24,   -0.47,   -1.06,    1.08,    6.99,   98.91,   -0.32,   94.86
38.25,-85.25,2011,02,07,    4.29,   -0.18,   -0.72,    1.56,    7.21,   98.63,   -0.10,   95.64
38.25,-85.75,2011,02,08,    8.48,   -6.18,   -9.31,   -2.65,    0.01,  100.03,   -6.14,   75.60
38.25,-85.25,2011,02,08,    8.70,   -5.54,   -8.65,   -2.14,    0.01,   99.74,   -5.49,   76.42
38.25,-85.75,2011,02,09,    6.46,   -8.39,  -10.97,   -5.73,    0.66,  100.10,   -8.38,   76.35
38.25,-85.25,2011,02,09,    6.34,   -7.73,  -10.56,   -5.00,    0.71,   99.82,   -7.77,   75.49
38.25,-85.75,2011,02,10,   12.33,   -9.84,  -12.20,   -2.39,    0.00,   99.83,   -9.66,   75.97
38.25,-85.25,2011,02,10,   12.04,   -9.38,  -12.00,   -2.24,    0.00,   99.57,   -9.27,   74.88
38.25,-85.75,2011,02,11,   15.30,   -6.65,   -9.28,    1.34,    0.00,   99.60,   -6.32,   77.27
38.25,-85.25,2011,02,11,   14.92,   -6.44,   -9.43,    1.40,    0.00,   99.37,   -6.16,   74.95
38.25,-85.75,2011,02,12,   11.88,   -1.21,   -3.60,    5.45,    0.00,   99.79,   -0.93,   81.98
38.25,-85.25,2011,02,12,   11.85,   -1.11,   -3.76,    5.45,    0.00,   99.55,   -0.87,   80.56
38.25,-85.75,2011,02,13,   12.10,    3.36,    1.09,   10.86,    0.00,   99.15,    3.94,   82.42
38.25,-85.25,2011,02,13,   12.20,    3.55,    1.00,   10.83,    0.00,   98.93,    4.08,   81.15
38.25,-85.75,2011,02,14,   11.63,    2.90,    0.97,    9.21,    0.00,   99.44,    3.31,   84.73
38.25,-85.25,2011,02,14,   11.71,    3.15,    1.01,    9.00,    0.00,   99.16,    3.52,   83.70
38.25,-85.75,2011,02,15,    9.10,    0.34,   -2.00,    5.74,    0.00,  100.13,    0.70,   81.95
38.25,-85.25,2011,02,15,    8.60,    0.12,   -2.28,    4.86,    0.00,   99.92,    0.44,   81.72
38.25,-85.75,2011,02,16,   16.30,    8.84,    6.93,   17.19,    0.01,   99.51,    9.36,   86.79
38.25,-85.25,2011,02,16,   15.48,    8.25,    6.26,   16.81,    0.02,   99.32,    8.76,   86.02
38.25,-85.75,2011,02,17,   10.82,   11.77,    9.91,   16.94,    0.00,   99.07,   12.20,   86.58
38.25,-85.25,2011,02,17,   11.68,   11.56,    9.50,   17.14,    0.00,   98.89,   11.93,   85.69
38.25,-85.75,2011,02,18,   17.74,    9.91,    5.34,   16.83,    0.03,   99.56,   10.60,   76.13
38.25,-85.25,2011,02,18,   18.02,   10.01,    5.63,   16.89,    0.03,   99.31,   10.66,   77.23
38.25,-85.75,2011,02,19,   14.05,    2.78,   -2.90,   11.51,    0.00,  100.20,    3.19,   64.05
38.25,-85.25,2011,02,19,   14.00,    2.38,   -3.05,   11.23,    0.00,   99.96,    2.79,   65.11
38.25,-85.75,2011,02,20,   15.29,    6.56,    3.92,   14.60,    0.89,   99.08,    6.90,   88.67
38.25,-85.25,2011,02,20,   15.58,    5.57,    2.96,   13.98,    0.84,   98.90,    5.89,   88.33
38.25,-85.75,2011,02,21,   17.18,   11.02,    9.81,   17.14,   11.00,   98.11,   11.36,   95.95
38.25,-85.25,2011,02,21,   17.09,   11.19,   10.01,   17.01,   12.78,   97.87,   11.51,   95.80
38.25,-85.75,2011,02,22,    9.23,    1.19,   -2.51,    5.23,    0.15,   99.48,    0.83,   78.06
38.25,-85.25,2011,02,22,    9.32,    0.69,   -2.57,    5.03,    0.18,   99.22,    0.44,   79.85
38.25,-85.75,2011,02,23,   12.20,    2.38,   -1.32,    7.89,    0.38,   99.76,    1.95,   80.08
38.25,-85.25,2011,02,23,   12.20,    1.99,   -1.56,    7.65,    0.38,   99.55,    1.58,   80.57
38.25,-85.75,2011,02,24,    4.82,    7.34,    6.47,   10.04,   48.33,   98.64,    7.46,   94.75
38.25,-85.25,2011,02,24,    5.87,    7.50,    6.72,   10.60,   47.25,   98.44,    7.69,   95.02
38.25,-85.75,2011,02,25,   12.46,    2.37,   -0.70,    9.66,    5.98,   98.96,    2.09,   86.19
38.25,-85.25,2011,02,25,   13.47,    2.54,   -0.24,   10.28,    9.29,   98.67,    2.33,   89.07
38.25,-85.75,2011,02,26,   11.77,    2.81,    0.23,    8.66,    0.03,   99.17,    2.67,   85.18
38.25,-85.25,2011,02,26,   11.66,    2.58,    0.20,    8.45,    0.02,   98.95,    2.49,   86.12
38.25,-85.75,2011,02,27,   14.00,   10.92,   10.11,   17.09,    9.99,   98.52,   11.10,   97.73
38.25,-85.25,2011,02,27,   12.37,   10.69,    9.89,   15.63,   10.82,   98.33,   10.80,   97.75
38.25,-85.75,2011,02,28,   20.99,    7.90,    6.13,   17.83,   16.26,   98.72,    8.18,   99.15
38.25,-85.25,2011,02,28,   20.62,    8.06,    6.61,   17.37,   18.75,   98.44,    8.38,  100.00
38.25,-85.75,2011,03,01,   14.73,    1.66,   -2.61,    9.66,    0.00,  100.00,    1.91,   71.85
38.25,-85.25,2011,03,01,   14.53,    1.26,   -2.61,    9.23,    0.00,   99.76,    1.66,   73.16
38.25,-85.75,2011,03,02,   15.10,    4.32,    0.45,   12.93,    0.00,  100.14,    4.33,   76.54
38.25,-85.25,2011,03,02,   15.28,    4.08,    0.32,   12.86,    0.00,   99.90,    4.12,   77.00
38.25,-85.75,2011,03,03,   15.18,    5.53,    1.89,   12.53,    0.01,  100.03,    5.74,   80.15
38.25,-85.25,2011,03,03,   15.53,    5.12,    1.45,   12.45,    0.00,   99.84,    5.32,   79.87
38.25,-85.75,2011,03,04,    6.69,   11.47,    9.25,   15.94,    7.89,   99.52,   11.92,   84.20
38.25,-85.25,2011,03,04,    7.14,   11.11,    8.73,   15.45,    4.77,   99.35,   11.52,   83.68
38.25,-85.75,2011,03,05,   11.27,    8.31,    7.10,   12.71,   25.26,   99.08,    8.49,   93.70
38.25,-85.25,2011,03,05,   11.00,    8.72,    7.58,   13.02,   27.68,   98.84,    8.91,   93.69
38.25,-85.75,2011,03,06,   10.21,    2.14,   -1.21,    6.75,    0.06,   99.63,    1.69,   80.88
38.25,-85.25,2011,03,06,    9.45,    1.94,   -1.17,    6.23,    0.37,   99.34,    1.58,   81.79
38.25,-85.75,2011,03,07,    9.47,    1.37,   -2.28,    5.64,    0.00,   99.79,    0.99,   78.64
38.25,-85.25,2011,03,07,    9.33,    1.29,   -2.48,    5.67,    0.00,   99.57,    0.94,   77.72
38.25,-85.75,2011,03,08,   12.72,    6.24,    2.60,   13.02,   15.03,   99.63,    6.22,   78.54
38.25,-85.25,2011,03,08,   13.00,    5.99,    2.58,   12.96,   17.39,   99.45,    5.97,   80.03
38.25,-85.75,2011,03,09,    8.66,    8.53,    8.09,   13.03,   32.32,   98.71,    8.82,   96.59
38.25,-85.25,2011,03,09,    8.33,    8.53,    8.21,   12.82,   29.26,   98.50,    8.81,   97.37
38.25,-85.75,2011,03,10,    4.23,    2.95,    1.10,    4.73,    1.15,   99.12,    2.91,   88.03
38.25,-85.25,2011,03,10,    5.49,    3.16,    1.44,    5.93,    2.27,   98.83,    3.10,   89.30
38.25,-85.75,2011,03,11,   10.78,    3.46,   -0.43,    9.00,    0.00,   99.40,    3.14,   77.26
38.25,-85.25,2011,03,11,    9.94,    3.20,   -0.32,    8.58,    0.05,   99.13,    2.97,   78.79
38.25,-85.75,2011,03,12,   14.05,    9.00,    4.78,   16.36,    0.00,   99.12,    9.32,   73.73
38.25,-85.25,2011,03,12,   14.19,    8.70,    4.76,   15.94,    0.04,   98.88,    9.00,   75.34
38.25,-85.75,2011,03,13,   11.31,    6.31,    2.04,   11.49,    0.01,   99.94,    5.73,   77.29
38.25,-85.25,2011,03,13,   11.38,    6.14,    2.06,   11.55,    0.01,   99.70,    5.69,   77.59
38.25,-85.75,2011,03,14,    4.35,    3.84,    2.19,    5.83,   10.39,   99.87,    3.76,   89.48
38.25,-85.25,2011,03,14,    4.61,    3.70,    2.03,    5.94,    8.19,   99.67,    3.62,   89.41
38.25,-85.75,2011,03,15,    5.33,    6.84,    5.69,    9.47,    6.18,   99.33,    6.84,   92.67
38.25,-85.25,2011,03,15,    6.21,    6.85,    5.81,   10.26,    6.08,   99.11,    6.89,   93.20
38.25,-85.75,2011,03,16,   10.86,    8.06,    4.53,   14.40,    0.04,   99.80,    7.77,   79.97
38.25,-85.25,2011,03,16,   10.06,    7.63,    4.60,   13.88,    0.04,   99.57,    7.44,   82.16
38.25,-85.75,2011,03,17,   17.19,   12.71,   10.11,   21.23,    0.00,   99.52,   12.98,   85.07
38.25,-85.25,2011,03,17,   17.01,   12.45,    9.82,   20.79,    0.00,   99.32,   12.71,   85.02
38.25,-85.75,2011,03,18,   12.87,   15.15,   12.98,   21.08,    3.65,   99.55,   15.29,   87.63
38.25,-85.25,2011,03,18,   12.66,   15.20,   13.23,   21.04,    5.25,   99.31,   15.34,   88.78
38.25,-85.75,2011,03,19,   10.12,    9.33,    4.92,   15.36,    0.05,  100.39,    9.11,   75.18
38.25,-85.25,2011,03,19,   10.81,    9.02,    4.76,   15.21,    0.08,  100.17,    8.85,   75.64
38.25,-85.75,2011,03,20,   16.86,   13.40,   10.19,   21.73,    0.30,   99.87,   13.26,   87.40
38.25,-85.25,2011,03,20,   17.01,   12.78,    9.85,   21.12,    0.21,   99.68,   12.66,   89.10
38.25,-85.75,2011,03,21,    7.80,   17.97,   15.59,   23.23,    0.01,   99.37,   18.38,   83.77
38.25,-85.25,2011,03,21,    7.60,   17.83,   15.73,   22.96,    0.01,   99.15,   18.20,   85.48
